epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1202.12,0.86705,1.49294,0.89537,1.31105,0.8242,0.76557,0.8494,0.67,0.83001,0.76801,0.84732,0.64187,0.77763,1.54458,0.85825,1.30449,0.001043,0.001043,0.001043
31,1239.11,0.84835,1.42586,0.86674,1.30014,0.82831,0.79523,0.85763,0.664,0.82322,0.79034,0.84415,0.63272,0.82035,1.53803,0.85523,1.33099,0.00101,0.00101,0.00101
32,1276.37,0.83914,1.40799,0.86628,1.29194,0.8779,0.7619,0.87645,0.69436,0.84731,0.79276,0.87702,0.66662,0.75247,1.43109,0.7841,1.26481,0.000977,0.000977,0.000977
33,1313.56,0.83738,1.3923,0.84829,1.28404,0.82269,0.81929,0.87844,0.69824,0.83639,0.80586,0.87601,0.6716,0.76071,1.47684,0.81265,1.27174,0.000944,0.000944,0.000944
34,1350.63,0.84742,1.4414,0.85928,1.29842,0.84056,0.79731,0.86887,0.68587,0.8507,0.82295,0.87619,0.66887,0.76324,1.48145,0.82281,1.27565,0.000911,0.000911,0.000911
35,1388.08,0.82677,1.38279,0.84025,1.28477,0.8547,0.79609,0.86967,0.6908,0.86108,0.80464,0.87607,0.67168,0.75002,1.46262,0.80782,1.2785,0.000878,0.000878,0.000878
36,1425.43,0.80388,1.35078,0.81151,1.2531,0.83857,0.79919,0.86738,0.6921,0.83775,0.80342,0.86657,0.66547,0.75313,1.48398,0.81743,1.28542,0.000845,0.000845,0.000845
37,1462.8,0.80162,1.32667,0.80601,1.25657,0.83774,0.80689,0.88039,0.70083,0.83325,0.81197,0.88139,0.68013,0.72813,1.37994,0.75636,1.25069,0.000812,0.000812,0.000812
38,1499.69,0.81902,1.38433,0.83737,1.27245,0.83579,0.79487,0.87479,0.69251,0.83931,0.79717,0.86805,0.66664,0.74372,1.40805,0.77065,1.25706,0.000779,0.000779,0.000779
39,1537,0.79975,1.32807,0.79328,1.24889,0.8842,0.79245,0.88295,0.70698,0.88525,0.7912,0.87554,0.68159,0.74131,1.42296,0.75276,1.25612,0.000746,0.000746,0.000746
